Kp_phi,Kd_phi,Ki_phi,Kp_chi,Ki_chi,Kp_theta,Kd_theta,Ki_theta,Kp_h,Kd_h,Ki_h,Kp_V,Ki_V,Y
7.2792558512,0.2863372675,0.3724784957,8.4786957391,0.599059812,-5.698339668,-0.478615723,0.2044408882,1.8857771554,0.5291858372,0.7177615523,0.3181756351,0.0547509502,
4.5781156231,0.8667733547,0.8741428286,4.1278255651,0.3183836767,-9.599519904,-0.872454491,0.7631526305,1.7435487097,0.4162032406,0.9096359272,0.9035367073,0.3878875775,
7.6461292258,0.6825965193,0.2091778356,2.9440888178,0.2931786357,-5.710942188,-0.882536507,0.7209441888,1.1152230446,0.7802760552,0.4617963593,0.82080016,0.0581716343,
3.9941988398,0.1885777155,0.2779875975,7.575515103,0.3963392679,-3.112022404,-0.612562513,0.0932186437,1.774154831,0.84924985,0.8146939388,0.2128745749,0.8783756751,
3.3822764553,0.9098019604,0.9372674535,3.7092418484,0.1115223045,-5.99519904,-0.871334267,0.5089017804,2.3844768954,0.2337667534,0.2080206041,0.5932746549,0.5684236847,
8.575915183,0.8028605721,0.5385237047,9.5544108822,0.5698939788,-9.813762753,-0.708421684,0.5521104221,2.5135027005,0.3777955591,0.5229015803,0.9490418084,0.6337967594,
3.2520504101,0.5472094419,0.0948869774,4.400880176,0.6138227646,-9.404880976,-0.340028006,0.3880776155,1.3324664933,0.9612722545,0.5376305261,0.5097859572,0.074134827,
3.4704940988,0.9420284057,0.1374274855,8.699239848,0.5162432486,-6.867573515,-0.44724945,0.2590518104,1.4116823365,0.5165433087,0.7038287658,0.8967673535,0.2394678936,
5.3370674135,0.7292258452,0.0464652931,9.6849369874,0.4852770554,-4.732146429,-0.442768554,0.1086217243,1.8767753551,0.8042808562,0.0792418484,0.6515663133,0.124114823,
9.725545109,0.6455091018,0.7853370674,4.2718543709,0.9917183437,-3.673534707,-0.930066013,0.4202840568,1.4338867774,0.8922984597,0.2764902981,0.2414562913,0.4956391278,
7.0986197239,0.3516903381,0.7263292659,4.4668933787,0.3326065213,-3.49289858,-0.734186837,0.0468093619,1.8449689938,0.4213242649,0.2687277455,0.8029365873,0.6946089218,
7.3968793759,0.8655131026,0.6185077015,2.7550510102,0.7718943789,-5.226445289,-0.384996999,0.1208241648,2.6425285057,0.3953990798,0.6120714143,0.8999639928,0.2390878176,
9.2158431686,0.6102220444,0.4163912783,5.3550710142,0.2373674735,-5.936387277,-0.815483097,0.50110022,2.9977995599,0.7229845969,0.9002810562,0.9603240648,0.9524904981,
5.0430086017,0.2861572314,0.9617723545,5.7721544309,0.4433286657,-6.345269054,-0.941428286,0.1046209242,2.1954390878,0.875975195,0.275495099,0.5787957592,0.2985697139,
7.0664132827,0.8269853971,0.4648129626,8.0031006201,0.7421884377,-6.828365673,-0.699459892,0.3862772555,1.4104820964,0.7895579116,0.3634706941,0.6825925185,0.3983396679,
8.3434686937,0.2346669334,0.3720864173,7.449489898,0.5950990198,-6.965593119,-0.978715743,0.0336067213,1.6847369474,0.7906781356,0.8984896979,0.1192318464,0.299329866,
9.6429285857,0.626065213,0.5369553911,8.4021804361,0.5419883977,-9.057611522,-0.268013603,0.1624324865,3.1910382076,0.8905381076,0.6682006401,0.8435527105,0.3806661332,
