chi_gains_1,chi_gains_2,phi_gains_1,phi_gains_2,phi_gains_3,h_gains_1,h_gains_2,theta_gains_1,theta_gains_2,theta_gains_3,V_gains_1,V_gains_2,chi_out_1,chi_out_2,chi_out_3,h_out_1,h_out_2,h_out_3,p_out,q_out
2,1.55555555555556,1.33333333333333,1.33333333333333,0,0,1,-0.888888888888889,-0.222222222222222,1.11111111111111,0.444444444444444,2,NaN,NaN,0,NaN,NaN,0,NaN,NaN
2.66666666666667,0,0.222222222222222,0.222222222222222,1.77777777777778,0.555555555555556,0.333333333333333,-0.666666666666667,-0.333333333333333,0,0.666666666666667,1.33333333333333,5.8052871868102,NaN,19.0045961528112,3.77055292988924,NaN,0.736874694793377,NaN,NaN
0,1.33333333333333,2,0,0.888888888888889,0.888888888888889,0.222222222222222,-1.11111111111111,-0.777777777777778,0.222222222222222,1.33333333333333,1.11111111111111,11.2715324316965,NaN,34509.097817541,NaN,NaN,0,NaN,NaN
1.66666666666667,0.444444444444444,0.666666666666667,2,1.11111111111111,0.666666666666667,0,-2,-0.555555555555556,0.888888888888889,2,1.55555555555556,0.0196942861625766,NaN,17541.849944791,NaN,NaN,0,NaN,NaN
3,1.11111111111111,1.77777777777778,1.55555555555556,0.444444444444444,0.333333333333333,0.444444444444444,-1.77777777777778,-1,0.444444444444444,0.222222222222222,0.222222222222222,NaN,NaN,0,NaN,NaN,0,NaN,NaN
0.333333333333333,0.888888888888889,1.11111111111111,1.77777777777778,1.33333333333333,1,0.777777777777778,-0.444444444444444,-0.666666666666667,1.55555555555556,0,1.77777777777778,0.043624579234709,NaN,15036.4685352005,NaN,NaN,0,NaN,NaN
1.33333333333333,2,0.444444444444444,0.666666666666667,2,0.222222222222222,0.888888888888889,-1.33333333333333,-0.444444444444444,0.666666666666667,1.77777777777778,0.444444444444444,0.0831913773847579,NaN,11713.0013570188,NaN,NaN,0,NaN,NaN
1,0.222222222222222,0.888888888888889,0.444444444444444,0.222222222222222,0.777777777777778,0.666666666666667,-1.55555555555556,0,1.33333333333333,0.888888888888889,0,NaN,NaN,0,NaN,NaN,0,NaN,NaN
0.666666666666667,0.666666666666667,0,0.888888888888889,0.666666666666667,0.111111111111111,0.555555555555556,0,-0.888888888888889,1.77777777777778,1.11111111111111,0.888888888888889,0.0227259575013186,NaN,33603.9553003175,NaN,NaN,0,NaN,NaN
2.33333333333333,1.77777777777778,1.55555555555556,1.11111111111111,1.55555555555556,0.444444444444444,0.111111111111111,-0.222222222222222,-0.111111111111111,2,1.55555555555556,0.666666666666667,0.098036326244924,NaN,20398.9339567733,NaN,NaN,0,NaN,NaN
